Freq.	V(n001)	V(n002)
7.24435960074998e+004	(2.15836246994434e+001dB,2.72595893817595e-005°)	(5.51309082662862e+001dB,8.93667807775721e+001°)
7.58577575029192e+004	(2.15836246995189e+001dB,2.60327288407765e-005°)	(5.47308551650513e+001dB,8.93358436126578e+001°)
7.94328234724290e+004	(2.15836246995878e+001dB,2.48610871899243e-005°)	(5.43307969384067e+001dB,8.93034982149435e+001°)
8.31763771102680e+004	(2.15836246996507e+001dB,2.37421792223297e-005°)	(5.39307330922809e+001dB,8.92696760542994e+001°)
8.70963589956090e+004	(2.15836246997080e+001dB,2.26736315860283e-005°)	(5.35306630849424e+001dB,8.92343054798529e+001°)
9.12010839355920e+004	(2.15836246997603e+001dB,2.16531777498029e-005°)	(5.31305863224096e+001dB,8.91973115697364e+001°)
9.54992586021447e+004	(2.15836246998079e+001dB,2.06786531955966e-005°)	(5.27305021534194e+001dB,8.91586159741509e+001°)
1.00000000000001e+005	(2.15836246998515e+001dB,1.97479908273059e-005°)	(5.23304098639107e+001dB,8.91181367514534e+001°)
1.04712854805091e+005	(2.15836246998912e+001dB,1.88592165862139e-005°)	(5.19303086709789e+001dB,8.90757881969616e+001°)
1.09647819614320e+005	(2.15836246999274e+001dB,1.80104452637655e-005°)	(5.15301977162479e+001dB,8.90314806641638e+001°)
1.14815362149690e+005	(2.15836246999604e+001dB,1.71998765028023e-005°)	(5.11300760586056e+001dB,8.89851203780120e+001°)
1.20226443461743e+005	(2.15836246999906e+001dB,1.64257909787745e-005°)	(5.07299426662415e+001dB,8.89366092399666e+001°)
1.25892541179418e+005	(2.15836247000181e+001dB,1.56865467528329e-005°)	(5.03297964079199e+001dB,8.88858446244560e+001°)
1.31825673855642e+005	(2.15836247000432e+001dB,1.49805757890624e-005°)	(4.99296360434151e+001dB,8.88327191664045e+001°)
1.38038426460290e+005	(2.15836247000661e+001dB,1.43063806284712e-005°)	(4.95294602130300e+001dB,8.87771205394780e+001°)
