v1	I(R2)
2.599999999999989e+000	2.302320e-004
2.609999999999988e+000	2.205449e-004
2.619999999999988e+000	2.110657e-004
2.629999999999988e+000	2.017944e-004
2.639999999999988e+000	1.927311e-004
2.649999999999988e+000	1.838758e-004
2.659999999999987e+000	1.752285e-004
2.669999999999987e+000	1.667892e-004
2.679999999999987e+000	1.585580e-004
2.689999999999987e+000	1.505349e-004
2.699999999999986e+000	1.427198e-004
2.709999999999986e+000	1.351128e-004
2.719999999999986e+000	1.277140e-004
2.729999999999986e+000	1.205233e-004
2.739999999999986e+000	1.135407e-004
2.749999999999985e+000	1.067663e-004
2.759999999999985e+000	1.002001e-004
2.769999999999985e+000	9.384215e-005
2.779999999999985e+000	8.769240e-005
2.789999999999985e+000	8.175088e-005
2.799999999999984e+000	7.601762e-005
2.809999999999984e+000	7.049264e-005
2.819999999999984e+000	6.517595e-005
2.829999999999984e+000	6.006757e-005
2.839999999999983e+000	5.516752e-005
2.849999999999983e+000	5.047581e-005
2.859999999999983e+000	4.599246e-005
2.869999999999983e+000	4.171749e-005
2.879999999999983e+000	3.765090e-005
2.889999999999982e+000	3.379272e-005
2.899999999999982e+000	3.014296e-005
2.909999999999982e+000	2.670164e-005
2.919999999999982e+000	2.346877e-005
2.929999999999982e+000	2.044437e-005
2.939999999999981e+000	1.762845e-005
2.949999999999981e+000	1.502103e-005
2.959999999999981e+000	1.262212e-005
2.969999999999981e+000	1.043173e-005
2.979999999999980e+000	8.449892e-006
2.989999999999980e+000	6.676607e-006
2.999999999999980e+000	5.111891e-006
3.009999999999980e+000	3.755760e-006
3.019999999999980e+000	2.608228e-006
3.029999999999979e+000	1.669307e-006
3.039999999999979e+000	9.390113e-007
3.049999999999979e+000	4.173552e-007
3.059999999999979e+000	1.043516e-007
3.069999999999979e+000	1.394348e-011
3.079999999999978e+000	1.395385e-011
3.089999999999978e+000	1.396415e-011
3.099999999999978e+000	1.397446e-011
3.109999999999978e+000	1.398478e-011
3.119999999999978e+000	1.399508e-011
3.129999999999977e+000	1.400542e-011
3.139999999999977e+000	1.401572e-011
3.149999999999977e+000	1.402604e-011
3.159999999999977e+000	1.403411e-011
3.169999999999976e+000	1.404443e-011
3.179999999999976e+000	1.405475e-011
3.189999999999976e+000	1.406505e-011
3.199999999999976e+000	1.407535e-011
3.209999999999976e+000	1.408567e-011
3.219999999999975e+000	1.409600e-011
3.229999999999975e+000	1.410632e-011
3.239999999999975e+000	1.411660e-011
3.249999999999975e+000	1.412692e-011
